match_id,date,team,opponent,player_id,player,position,started,minutes,goals,assists,yellow,red,penalties,rating,xg,npxg,bc_missed,bc_missed_xg,xa,shots,sot,passes,passAcc,keyPasses,touches,tackles,interceptions,aerials,dribbles,fouls,clearances,dispossessed,saves
5868015,2026-08-16,Espanyol,Levante,344200,Unai Nunez,DC,1,94,0,0,0,0,0,7.3,0.0,0.0,0,0.0,0.0,0,0,70,65,0,81,2,0,2,0,0,6,0,0
5868015,2026-08-16,Espanyol,Levante,555136,Roger Hinojo,DL,1,94,0,0,0,0,0,7.2,0.0,0.0,0,0.0,0.05,0,0,57,50,1,73,2,1,1,0,1,2,0,0
5868015,2026-08-16,Espanyol,Levante,335696,Edu Exposito,DMC,1,85,0,0,0,0,0,7.0,0.1,0.1,0,0.0,0.01,3,0,51,47,1,74,2,0,0,1,0,1,5,0
5868015,2026-08-16,Espanyol,Levante,401173,Urko Gonzalez de Zarate,DMC,1,71,0,0,1,0,0,7.0,0.0,0.0,0,0.0,0.01,0,0,31,27,1,39,2,2,0,1,1,2,0,0
5868015,2026-08-16,Espanyol,Levante,468761,Cala,AMR,1,71,0,0,1,0,0,7.1,0.11,0.11,0,0.0,0.02,2,2,25,20,1,39,4,1,2,1,3,1,3,0
5868015,2026-08-16,Espanyol,Levante,506010,Javi Hernandez,AMC,1,81,0,1,1,0,0,7.7,0.14,0.14,0,0.0,0.42,2,1,26,19,3,45,3,0,0,1,4,1,4,0
5868015,2026-08-16,Espanyol,Levante,398922,Tyrhys Dolan,AML,1,81,1,0,0,0,0,7.9,0.18,0.18,0,0.0,0.03,4,1,29,24,0,49,1,2,0,1,2,0,1,0
5868015,2026-08-16,Espanyol,Levante,448296,Roberto Fernandez,FW,1,94,2,0,0,0,0,8.3,0.92,0.92,0,0.0,0.14,2,2,12,7,2,20,1,0,0,0,0,0,1,0
5868015,2026-08-16,Espanyol,Levante,382157,Pol Lozano,Sub,0,23,0,0,0,0,0,6.3,0.04,0.04,0,0.0,0.02,1,0,11,9,1,13,1,0,0,0,1,0,0,0
5868015,2026-08-16,Espanyol,Levante,430451,Jofre Carreras,Sub,0,13,0,0,0,0,0,6.0,0.09,0.09,0,0.0,0.0,1,0,6,4,0,8,0,0,0,0,0,0,0,0
5868015,2026-08-16,Espanyol,Levante,140772,Pere Milla,Sub,0,13,0,0,0,0,0,6.4,0.0,0.0,0,0.0,0.0,0,0,3,3,0,7,1,0,0,1,0,1,0,0
5868015,2026-08-16,Espanyol,Levante,531460,Rafel Bauza,Sub,0,23,0,1,0,0,0,6.7,0.0,0.0,0,0.0,0.04,0,0,12,11,1,14,0,0,0,0,0,1,0,0
5868015,2026-08-16,Espanyol,Levante,464541,Marcos Fernandez,Sub,0,9,0,0,0,0,0,6.0,0.05,0.05,0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
5868015,2026-08-16,Levante,Espanyol,81523,Mathew Ryan,GK,1,94,0,0,0,0,0,6.3,0.0,0.0,0,0.0,0.0,0,0,36,28,0,51,1,0,0,0,0,3,0,3
5868015,2026-08-16,Levante,Espanyol,578266,Nacho Perez,DR,1,75,0,0,0,0,0,7.0,0.0,0.0,0,0.0,0.08,0,0,28,23,2,54,4,1,1,0,0,3,0,0
5868015,2026-08-16,Levante,Espanyol,90115,Aissa Mandi,DC,1,94,0,0,0,0,0,6.6,0.02,0.02,0,0.0,0.0,1,0,66,61,0,80,2,2,3,1,0,4,0,0
5868015,2026-08-16,Levante,Espanyol,383780,Adrian de la Fuente,DC,1,94,0,0,0,0,0,6.1,0.06,0.06,0,0.0,0.02,1,0,69,63,0,84,3,1,0,0,1,2,0,0
5868015,2026-08-16,Levante,Espanyol,374813,Manu Sanchez,DL,1,94,0,0,0,0,0,6.0,0.0,0.0,0,0.0,0.0,0,0,63,55,0,82,5,0,1,1,1,0,1,0
5868015,2026-08-16,Levante,Espanyol,362623,Oriol Rey,DMC,1,94,0,0,0,0,0,6.2,0.0,0.0,0,0.0,0.0,0,0,26,24,0,45,4,0,1,0,1,5,5,0
5868015,2026-08-16,Levante,Espanyol,413346,Jon Ander Olasagasti,DMC,1,94,0,0,0,0,0,5.9,0.0,0.0,0,0.0,0.0,0,0,22,12,0,34,3,2,0,0,0,1,1,0
5868015,2026-08-16,Levante,Espanyol,395708,Victor Garcia,AMR,1,75,0,0,0,0,0,5.9,0.0,0.0,0,0.0,0.01,0,0,13,13,0,27,0,0,1,0,1,2,2,0
5868015,2026-08-16,Levante,Espanyol,406937,Carlos Alvarez,AMC,1,45,0,0,0,0,0,5.9,0.0,0.0,0,0.0,0.01,0,0,14,12,1,20,0,0,0,0,1,0,1,0
5868015,2026-08-16,Levante,Espanyol,541854,Paco Cortes,AML,1,45,0,0,0,0,0,6.0,0.0,0.0,0,0.0,0.0,0,0,11,8,0,19,0,0,0,2,0,0,1,0
5868015,2026-08-16,Levante,Espanyol,407567,Ivan Romero,FW,1,63,0,0,0,0,0,6.2,0.04,0.04,0,0.0,0.0,1,0,12,9,0,22,3,0,0,1,0,0,1,0
5868015,2026-08-16,Levante,Espanyol,445095,Karl Etta Eyong,Sub,0,49,0,0,0,0,0,5.8,0.04,0.04,0,0.0,0.0,1,0,4,3,0,12,1,0,1,0,1,0,1,0
5868015,2026-08-16,Levante,Espanyol,467181,Enzo Bardeli,Sub,0,49,0,0,0,0,0,5.8,0.0,0.0,0,0.0,0.0,0,0,22,18,0,28,0,0,0,0,1,0,0,0
5868015,2026-08-16,Levante,Espanyol,129620,Jeremy Toljan,Sub,0,19,0,0,0,0,0,5.9,0.0,0.0,0,0.0,0.0,0,0,1,0,0,5,0,0,0,0,0,0,0,0
5868015,2026-08-16,Levante,Espanyol,604365,Kareem Tunde,Sub,0,19,0,0,0,0,0,5.8,0.0,0.0,0,0.0,0.0,0,0,2,1,0,4,0,0,0,0,0,0,0,0
5868015,2026-08-16,Levante,Espanyol,644082,Marc Santos,Sub,0,31,0,0,0,0,0,6.2,0.0,0.0,0,0.0,0.0,0,0,3,2,0,12,1,1,1,0,0,1,0,0
5868016,2026-08-27,Barcelona,Athletic Club,422824,Joan Garcia,GK,1,93,0,0,0,0,0,6.7,0.0,0.0,0,0.0,0.0,0,0,34,30,0,44,0,0,0,0,0,2,0,0
5868016,2026-08-27,Barcelona,Athletic Club,368091,Eric Garcia,DR,1,79,0,0,0,0,0,7.3,0.05,0.05,0,0.0,0.18,2,0,68,58,1,94,6,1,2,0,0,3,0,0
5868016,2026-08-27,Barcelona,Athletic Club,498386,Pau Cubarsi,DC,1,93,0,0,0,0,0,7.2,0.08,0.08,0,0.0,0.02,1,0,107,102,0,120,2,0,2,0,0,3,0,0
5868016,2026-08-27,Barcelona,Athletic Club,512879,Gerard Martin,DC,1,93,0,0,0,0,0,7.1,0.09,0.09,0,0.0,0.0,1,0,95,93,0,108,0,2,0,0,1,4,0,0
5868016,2026-08-27,Barcelona,Athletic Club,591617,Xavi Espart,DL,1,93,0,0,1,0,0,7.3,0.04,0.04,0,0.0,0.25,1,1,38,30,1,56,1,2,1,0,2,1,0,0
5868016,2026-08-27,Barcelona,Athletic Club,402197,Pedri,MC,1,84,0,1,0,0,0,8.2,0.0,0.0,0,0.0,0.48,0,0,54,52,3,67,2,0,0,1,0,1,0,0
5868016,2026-08-27,Barcelona,Athletic Club,463838,Fermin Lopez,MC,1,93,1,0,0,0,0,7.8,0.91,0.91,0,0.0,0.02,3,3,43,36,0,59,2,1,1,1,2,0,2,0
5868016,2026-08-27,Barcelona,Athletic Club,534796,Marc Bernal,MC,1,62,0,0,0,0,0,7.0,0.0,0.0,0,0.0,0.06,0,0,25,21,1,38,3,1,2,1,2,4,0,0
5868016,2026-08-27,Barcelona,Athletic Club,480249,Lamine Yamal,FWR,1,93,0,0,0,0,0,7.9,0.41,0.41,0,0.0,0.63,7,3,55,45,5,86,1,0,0,3,1,0,3,0
5868016,2026-08-27,Barcelona,Athletic Club,300447,Raphinha,FW,1,62,1,0,0,0,0,8.1,0.51,0.51,1,0.17,0.12,3,1,17,16,3,31,0,0,0,3,3,1,2,0
5868016,2026-08-27,Barcelona,Athletic Club,349669,Anthony Gordon,FWL,1,79,0,0,0,0,0,6.9,0.14,0.14,0,0.0,0.19,2,0,22,19,1,37,2,0,1,3,1,1,2,0
5868016,2026-08-27,Barcelona,Athletic Club,301019,Jules Kounde,Sub,0,14,0,0,0,0,0,6.2,0.0,0.0,0,0.0,0.0,0,0,9,8,0,13,0,0,0,0,0,1,0,0
5868016,2026-08-27,Barcelona,Athletic Club,392646,Karim Adeyemi,Sub,0,14,0,0,0,0,0,6.1,0.42,0.42,1,0.42,0.0,1,1,3,3,0,7,0,0,0,0,1,0,0,0
5868016,2026-08-27,Barcelona,Athletic Club,128967,Joao Cancelo,Sub,0,9,0,0,0,0,0,6.2,0.0,0.0,0,0.0,0.0,0,0,5,5,0,7,1,0,0,0,0,0,0,0
5868016,2026-08-27,Barcelona,Athletic Club,261212,Dani Olmo,Sub,0,31,0,0,0,0,0,6.9,0.01,0.01,0,0.0,0.11,1,1,20,19,1,27,1,0,0,1,0,2,0,0
5868016,2026-08-27,Barcelona,Athletic Club,303139,Rodri,Sub,0,31,0,0,0,0,0,6.3,0.0,0.0,0,0.0,0.04,0,0,26,23,1,29,0,0,0,0,0,1,0,0
5868016,2026-08-27,Athletic Club,Barcelona,332823,Unai Simon,GK,1,93,0,0,0,0,0,8.0,0.0,0.0,0,0.0,0.0,0,0,35,23,0,60,1,0,0,0,0,3,0,8
5868016,2026-08-27,Athletic Club,Barcelona,481851,Hugo Rincon,DR,1,93,0,0,0,0,0,6.1,0.0,0.0,0,0.0,0.0,0,0,12,8,0,32,2,1,1,0,1,0,1,0
5868016,2026-08-27,Athletic Club,Barcelona,279839,Yeray Alvarez,DC,1,93,0,0,0,0,0,6.3,0.02,0.02,0,0.0,0.0,1,0,26,21,0,39,3,3,1,0,0,3,0,0
5868016,2026-08-27,Athletic Club,Barcelona,122117,Aymeric Laporte,DC,1,93,0,0,0,0,0,5.3,0.0,0.0,0,0.0,0.0,0,0,34,31,0,44,1,1,0,0,1,1,0,0
5868016,2026-08-27,Athletic Club,Barcelona,431668,Johaneko Louis-Jean,DL,1,69,0,0,1,0,0,7.4,0.0,0.0,0,0.0,0.0,0,0,18,15,0,51,4,5,0,3,1,5,0,0
5868016,2026-08-27,Athletic Club,Barcelona,511120,Mikel Jauregizar,DMC,1,69,0,0,0,0,0,6.2,0.0,0.0,0,0.0,0.0,0,0,12,7,0,20,5,1,0,0,1,1,0,0
5868016,2026-08-27,Athletic Club,Barcelona,536242,Peio Canales,DMC,1,93,0,0,0,0,0,5.8,0.0,0.0,0,0.0,0.0,0,0,33,26,1,41,3,1,0,0,0,0,1,0
5868016,2026-08-27,Athletic Club,Barcelona,255182,Inaki Williams,AMR,1,59,0,0,0,0,0,6.0,0.0,0.0,0,0.0,0.0,0,0,6,2,0,15,2,0,0,0,1,0,1,0
5868016,2026-08-27,Athletic Club,Barcelona,381510,Oihan Sancet,AMC,1,93,0,0,0,0,0,6.9,0.13,0.13,0,0.0,0.01,2,0,19,12,1,34,1,1,4,2,0,0,2,0
5868016,2026-08-27,Athletic Club,Barcelona,408449,Nico Williams,AML,1,59,0,0,0,0,0,6.2,0.02,0.02,0,0.0,0.0,1,0,13,7,0,26,0,0,1,2,0,1,1,0
5868016,2026-08-27,Athletic Club,Barcelona,362602,Gorka Guruzeta,FW,1,80,0,0,1,0,0,6.1,0.0,0.0,0,0.0,0.0,0,0,10,7,0,18,3,1,1,0,1,2,0,0
5868016,2026-08-27,Athletic Club,Barcelona,400237,Robert Navarro,Sub,0,34,0,0,0,0,0,5.9,0.0,0.0,0,0.0,0.06,0,0,6,4,0,14,0,1,0,0,0,0,0,0
5868016,2026-08-27,Athletic Club,Barcelona,444806,Alvaro Djalo,Sub,0,13,0,0,0,0,0,5.9,0.0,0.0,0,0.0,0.0,0,0,1,0,0,5,2,0,0,0,0,0,2,0
5868016,2026-08-27,Athletic Club,Barcelona,515307,Adama Boiro,Sub,0,24,0,0,0,0,0,6.0,0.0,0.0,0,0.0,0.0,0,0,8,7,0,14,1,1,0,0,0,1,0,0
5868016,2026-08-27,Athletic Club,Barcelona,238899,Alex Berenguer,Sub,0,34,0,0,0,0,0,6.2,0.03,0.03,0,0.0,0.05,1,0,9,3,2,21,1,1,0,0,0,0,0,0
5868016,2026-08-27,Athletic Club,Barcelona,536243,Benat Gerenabarrena,Sub,0,24,0,0,0,0,0,6.3,0.0,0.0,0,0.0,0.13,0,0,10,10,1,13,0,1,0,0,0,1,0,0
5868017,2026-08-16,Racing Santander,Villarreal,423108,Julen Agirrezabala,GK,1,93,0,0,0,0,0,7.2,0.0,0.0,0,0.0,0.0,0,0,20,16,0,32,0,0,0,0,0,1,0,5
5868017,2026-08-16,Racing Santander,Villarreal,448397,Alvaro Mantilla,DR,1,93,0,0,0,0,0,6.3,0.16,0.16,1,0.11,0.05,2,0,21,16,0,33,2,2,1,0,1,2,0,0
5868017,2026-08-16,Racing Santander,Villarreal,413758,Pablo Ramon,DC,1,76,0,0,1,0,0,6.6,0.0,0.0,0,0.0,0.01,0,0,31,28,1,46,4,2,0,0,1,7,0,0
5868017,2026-08-16,Racing Santander,Villarreal,478316,Pedro Felipe,DC,1,15,0,0,0,0,0,6.3,0.0,0.0,0,0.0,0.0,0,0,3,2,0,5,0,0,0,0,0,1,0,0
5868017,2026-08-16,Racing Santander,Villarreal,541900,Jorge Salinas,DL,1,93,0,0,0,0,0,7.2,0.0,0.0,0,0.0,0.13,0,0,39,31,1,71,8,2,2,1,0,4,1,0
5868017,2026-08-16,Racing Santander,Villarreal,472904,Gustavo Puerta,DMC,1,93,0,0,1,0,0,6.6,0.09,0.09,0,0.0,0.07,2,0,63,61,3,82,2,2,0,0,2,1,1,0
5868017,2026-08-16,Racing Santander,Villarreal,586240,Sergio Martinez,DMC,1,68,1,0,0,0,0,7.4,0.05,0.05,0,0.0,0.0,1,1,22,17,0,34,3,1,1,0,3,3,1,0
5868017,2026-08-16,Racing Santander,Villarreal,422961,Andres Martin,AMR,1,93,1,0,0,0,1,7.2,1.11,0.32,0,0.0,0.26,6,1,29,20,3,64,7,2,0,1,2,0,2,0
5868017,2026-08-16,Racing Santander,Villarreal,44189,Sergio Canales,AMC,1,76,0,0,0,0,0,7.0,0.14,0.14,0,0.0,0.03,3,1,40,35,0,59,1,0,1,4,1,0,2,0
5868017,2026-08-16,Racing Santander,Villarreal,402137,Inigo Vicente,AML,1,93,0,0,0,0,0,7.2,0.0,0.0,0,0.0,0.04,0,0,66,53,1,88,5,0,0,4,1,1,0,0
5868017,2026-08-16,Racing Santander,Villarreal,331171,Asier Villalibre,FW,1,68,0,0,0,0,0,6.1,0.08,0.08,0,0.0,0.0,1,0,9,4,0,24,0,0,2,0,0,0,2,0
5868017,2026-08-16,Racing Santander,Villarreal,485481,Maguette Gueye,Sub,0,25,0,0,0,0,0,6.3,0.06,0.06,0,0.0,0.0,1,0,12,10,0,19,0,1,1,0,2,2,0,0
5868017,2026-08-16,Racing Santander,Villarreal,538158,Yassir Zabiri,Sub,0,25,0,0,0,0,0,5.9,0.0,0.0,0,0.0,0.0,0,0,3,3,0,5,0,0,0,0,1,0,1,0
5868017,2026-08-16,Racing Santander,Villarreal,545956,Diego Diaz,Sub,0,17,0,0,0,0,0,5.9,0.0,0.0,0,0.0,0.0,0,0,4,3,0,7,1,0,0,0,0,0,0,0
5868017,2026-08-16,Racing Santander,Villarreal,444264,Facu Gonzalez,Sub,0,17,0,0,0,0,0,6.2,0.0,0.0,0,0.0,0.0,0,0,2,0,0,4,2,0,1,0,0,1,0,0
5868017,2026-08-16,Racing Santander,Villarreal,423973,Manu Hernando,Sub,0,78,0,0,0,0,0,7.1,0.02,0.02,0,0.0,0.0,1,0,13,11,0,30,1,1,2,0,0,10,0,0
5868017,2026-08-16,Villarreal,Racing Santander,400826,Luiz Junior,GK,1,93,0,0,0,0,0,5.6,0.0,0.0,0,0.0,0.0,0,0,20,18,0,28,0,0,0,0,0,0,0,3
5868017,2026-08-16,Villarreal,Racing Santander,448936,Santiago Mourino,DR,1,87,0,0,1,0,0,6.4,0.2,0.2,1,0.2,0.02,1,1,53,45,0,79,7,0,1,0,3,2,2,0
5868017,2026-08-16,Villarreal,Racing Santander,335107,Juan Foyth,DC,1,93,0,0,1,0,0,7.0,0.0,0.0,0,0.0,0.01,0,0,75,68,0,96,1,2,2,0,0,8,0,0
5868017,2026-08-16,Villarreal,Racing Santander,434077,Renato Veiga,DC,1,93,0,0,0,0,0,6.8,0.0,0.0,0,0.0,0.22,0,0,80,76,0,99,1,2,2,0,1,9,1,0
5868017,2026-08-16,Villarreal,Racing Santander,468931,Carlos Romero,DL,1,93,0,0,1,0,0,7.2,0.03,0.03,0,0.0,0.07,1,0,53,50,0,82,4,0,1,4,2,3,0,0
5868017,2026-08-16,Villarreal,Racing Santander,239872,Nicolas Pepe,MR,1,76,1,0,0,0,0,7.9,0.07,0.07,0,0.0,0.16,2,2,38,33,0,68,1,0,1,4,0,0,3,0
5868017,2026-08-16,Villarreal,Racing Santander,399047,Pape Gueye,MC,1,93,1,0,1,0,0,7.3,0.04,0.04,0,0.0,0.08,1,1,56,47,2,71,2,0,0,0,1,1,0,0
5868017,2026-08-16,Villarreal,Racing Santander,362735,Santi Comesana,MC,1,55,0,0,0,0,0,6.4,0.0,0.0,0,0.0,0.42,0,0,29,26,0,45,4,2,0,1,1,2,0,0
5868017,2026-08-16,Villarreal,Racing Santander,448211,Alberto Moleiro,ML,1,55,0,0,0,0,0,6.4,0.0,0.0,0,0.0,0.17,0,0,27,26,2,35,0,0,0,0,0,0,0,0
5868017,2026-08-16,Villarreal,Racing Santander,389020,Georges Mikautadze,FW,1,93,0,0,0,0,0,7.2,0.2,0.2,0,0.0,0.3,4,2,28,25,2,54,1,0,0,4,2,1,1,0
5868017,2026-08-16,Villarreal,Racing Santander,135366,Ayoze Perez,FW,1,55,0,0,0,0,0,6.5,0.16,0.16,0,0.0,0.0,2,1,7,7,1,23,3,0,0,0,2,0,0,0
5868017,2026-08-16,Villarreal,Racing Santander,371027,Tajon Buchanan,Sub,0,38,0,0,0,0,0,5.9,0.04,0.04,0,0.0,0.0,1,0,11,10,0,24,1,0,0,0,1,0,0,0
5868017,2026-08-16,Villarreal,Racing Santander,428500,Ilias Akhomach,Sub,0,17,0,0,0,0,0,6.0,0.0,0.0,0,0.0,0.0,0,0,9,6,0,15,1,0,0,0,0,0,0,0
5868017,2026-08-16,Villarreal,Racing Santander,97659,Gerard Moreno,Sub,0,38,0,0,0,0,0,6.8,0.0,0.0,0,0.0,0.12,0,0,19,16,2,27,1,0,1,2,0,0,2,0
5868017,2026-08-16,Villarreal,Racing Santander,440159,Alex Freeman,Sub,0,6,0,0,0,0,0,6.0,0.0,0.0,0,0.0,0.0,0,0,3,3,0,5,0,0,0,0,0,0,0,0
5868017,2026-08-16,Villarreal,Racing Santander,603190,Carlos Macia,Sub,0,38,0,0,0,0,0,6.5,0.0,0.0,0,0.0,0.0,0,0,28,27,0,38,6,1,0,0,1,3,1,0
5868018,2026-08-26,Real Madrid,Real Sociedad,73798,Thibaut Courtois,GK,1,93,0,0,0,0,0,6.7,0.0,0.0,0,0.0,0.0,0,0,23,20,0,27,0,0,0,0,0,0,0,2
5868018,2026-08-26,Real Madrid,Real Sociedad,322153,Denzel Dumfries,DR,1,93,0,0,0,0,0,6.6,0.05,0.05,0,0.0,0.0,1,0,44,42,0,55,2,2,0,0,1,0,1,0
5868018,2026-08-26,Real Madrid,Real Sociedad,345957,Ibrahima Konate,DC,1,93,0,0,1,0,0,6.5,0.0,0.0,0,0.0,0.0,0,0,54,52,1,67,0,0,0,0,1,3,0,0
5868018,2026-08-26,Real Madrid,Real Sociedad,468852,Dean Huijsen,DC,1,93,0,0,0,0,0,7.4,0.05,0.05,0,0.0,0.0,2,0,72,69,0,92,1,1,3,0,0,11,0,0
5868018,2026-08-26,Real Madrid,Real Sociedad,437583,Alvaro Carreras,DL,1,45,0,0,1,0,0,6.0,0.0,0.0,0,0.0,0.01,0,0,35,32,0,42,0,1,1,0,1,0,0,0
5868018,2026-08-26,Real Madrid,Real Sociedad,136741,Bernardo Silva,DMC,1,85,0,0,0,0,0,7.0,0.0,0.0,0,0.0,0.1,0,0,71,63,1,88,8,3,0,0,0,1,0,0
5868018,2026-08-26,Real Madrid,Real Sociedad,344644,Federico Valverde,DMC,1,93,0,1,0,0,0,7.5,0.06,0.06,0,0.0,0.1,2,1,61,57,2,72,2,1,1,0,0,0,2,0
5868018,2026-08-26,Real Madrid,Real Sociedad,415181,Arda Guler,AMR,1,77,0,0,0,0,0,8.0,0.06,0.06,0,0.0,0.32,2,1,46,41,5,59,3,0,0,2,0,1,1,0
5868018,2026-08-26,Real Madrid,Real Sociedad,379868,Jude Bellingham,AMC,1,77,0,2,0,0,0,8.9,0.11,0.11,0,0.0,0.78,1,0,42,40,4,62,2,0,0,4,2,0,1,0
5868018,2026-08-26,Real Madrid,Real Sociedad,337782,Vinicius Junior,AML,1,83,1,1,0,0,0,8.1,0.87,0.87,1,0.2,0.31,4,2,31,24,2,47,0,0,0,1,2,0,1,0
5868018,2026-08-26,Real Madrid,Real Sociedad,300713,Kylian Mbappe,FW,1,93,3,0,0,0,0,10.0,1.33,1.33,1,0.34,0.13,8,7,39,36,3,57,0,1,0,3,2,0,0,0
5868018,2026-08-26,Real Madrid,Real Sociedad,369109,Eduardo Camavinga,Sub,0,16,0,0,1,0,0,6.2,0.0,0.0,0,0.0,0.0,0,0,18,17,0,21,0,1,0,0,1,0,0,0
5868018,2026-08-26,Real Madrid,Real Sociedad,317541,Brahim Diaz,Sub,0,16,0,0,0,0,0,6.3,0.0,0.0,0,0.0,0.0,0,0,12,12,1,17,1,0,0,0,0,0,0,0
5868018,2026-08-26,Real Madrid,Real Sociedad,363496,Marc Cucurella,Sub,0,48,0,0,0,0,0,6.6,0.0,0.0,0,0.0,0.0,0,0,28,24,0,34,2,0,0,0,0,1,0,0
5868018,2026-08-26,Real Madrid,Real Sociedad,557000,Yan Diomande,Sub,0,10,0,0,0,0,0,6.2,0.0,0.0,0,0.0,0.0,0,0,6,3,0,11,0,0,1,1,0,0,1,0
5868018,2026-08-26,Real Madrid,Real Sociedad,516341,Carlos Espi,Sub,0,8,0,0,0,0,0,6.0,0.0,0.0,0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
5868018,2026-08-26,Real Sociedad,Real Madrid,270504,Alex Remiro,GK,1,93,0,0,0,0,0,6.6,0.0,0.0,0,0.0,0.0,0,0,37,28,0,56,0,0,0,0,0,0,0,7
5868018,2026-08-26,Real Sociedad,Real Madrid,463961,Jon Aramburu,DR,1,56,0,0,1,0,0,6.1,0.02,0.02,0,0.0,0.0,1,0,34,30,0,48,2,1,0,2,2,0,0,0
5868018,2026-08-26,Real Sociedad,Real Madrid,546570,Luken Beitia,DC,1,93,0,0,1,0,0,5.2,0.0,0.0,0,0.0,0.0,0,0,59,56,1,73,1,2,1,0,1,5,1,0
5868018,2026-08-26,Real Sociedad,Real Madrid,495459,Jon Martin,DC,1,93,0,0,0,0,0,5.5,0.0,0.0,0,0.0,0.0,0,0,52,50,0,56,2,0,0,0,0,0,0,0
5868018,2026-08-26,Real Sociedad,Real Madrid,355110,Sergio Gomez,DL,1,93,0,0,0,0,0,6.3,0.05,0.05,0,0.0,0.05,2,0,73,66,2,101,1,2,0,1,0,1,0,0
5868018,2026-08-26,Real Sociedad,Real Madrid,407138,Benat Turrientes,DMC,1,93,0,0,0,0,0,6.5,0.02,0.02,0,0.0,0.03,1,1,73,72,1,85,3,1,0,0,0,4,1,0
5868018,2026-08-26,Real Sociedad,Real Madrid,318505,Yangel Herrera,DMC,1,65,0,0,1,0,0,5.9,0.0,0.0,0,0.0,0.0,0,0,41,37,0,54,3,1,0,0,2,1,3,0
5868018,2026-08-26,Real Sociedad,Real Madrid,377285,Takefusa Kubo,AMR,1,73,0,0,0,0,0,6.2,0.0,0.0,0,0.0,0.07,0,0,16,12,1,28,2,0,0,2,1,0,1,0
5868018,2026-08-26,Real Sociedad,Real Madrid,407080,Luka Sucic,AMC,1,93,1,0,0,0,0,6.6,0.11,0.11,0,0.0,0.12,2,1,56,55,1,70,1,0,0,0,1,0,1,0
5868018,2026-08-26,Real Sociedad,Real Madrid,599413,Job Ochieng,AML,1,65,0,0,0,0,0,5.8,0.05,0.05,0,0.0,0.0,1,0,13,9,0,19,0,0,0,0,0,0,2,0
5868018,2026-08-26,Real Sociedad,Real Madrid,298839,Mikel Oyarzabal,FW,1,57,0,0,0,0,0,5.9,0.31,0.31,1,0.31,0.0,1,1,26,21,1,32,1,0,1,0,0,0,0,0
5868018,2026-08-26,Real Sociedad,Real Madrid,428066,Orri Oskarsson,Sub,0,36,0,0,0,0,0,5.8,0.07,0.07,0,0.0,0.0,1,0,10,7,0,13,0,0,1,0,1,0,0,0
5868018,2026-08-26,Real Sociedad,Real Madrid,247995,Goncalo Guedes,Sub,0,20,0,0,0,0,0,6.0,0.03,0.03,0,0.0,0.05,1,0,10,9,1,16,1,0,0,0,0,0,2,0
5868018,2026-08-26,Real Sociedad,Real Madrid,313542,Carlos Soler,Sub,0,28,0,0,0,0,0,6.2,0.0,0.0,0,0.0,0.01,0,0,23,21,0,31,3,0,0,0,0,1,0,0
5868018,2026-08-26,Real Sociedad,Real Madrid,315566,Igor Zubeldia,Sub,0,37,0,0,0,0,0,6.2,0.0,0.0,0,0.0,0.0,0,0,20,17,0,31,3,1,0,0,0,1,1,0
5868018,2026-08-26,Real Sociedad,Real Madrid,367857,Ander Barrenetxea,Sub,0,28,0,0,0,0,0,5.8,0.0,0.0,0,0.0,0.0,0,0,10,8,0,15,1,0,0,0,0,0,0,0
5868019,2026-08-15,Sevilla,Rayo Vallecano,110273,Odysseas Vlachodimos,GK,1,102,0,0,0,0,0,6.4,0.0,0.0,0,0.0,0.0,0,0,29,16,0,38,0,0,0,0,0,2,0,2
5868019,2026-08-15,Sevilla,Rayo Vallecano,408735,Juan Iglesias,DR,1,102,0,0,0,0,0,6.9,0.0,0.0,0,0.0,0.07,0,0,27,18,2,65,2,0,1,0,1,5,1,0
5868019,2026-08-15,Sevilla,Rayo Vallecano,486031,Arouna Sangante,DC,1,102,0,0,0,0,0,6.0,0.0,0.0,0,0.0,0.0,0,0,47,39,0,58,1,3,4,0,1,4,0,0
5868019,2026-08-15,Sevilla,Rayo Vallecano,431509,Kike Salas,DC,1,102,0,0,0,1,0,6.2,0.02,0.02,0,0.0,0.05,1,0,44,31,1,55,4,1,3,0,1,5,0,0
5868019,2026-08-15,Sevilla,Rayo Vallecano,286080,Gabriel Suazo,DL,1,102,0,0,1,0,0,6.5,0.0,0.0,0,0.0,0.0,0,0,33,27,0,63,5,0,2,1,4,1,0,0
5868019,2026-08-15,Sevilla,Rayo Vallecano,388505,Lucien Agoume,DMC,1,102,0,0,1,0,0,6.7,0.0,0.0,0,0.0,0.08,0,0,35,25,0,50,4,0,1,0,3,1,2,0
5868019,2026-08-15,Sevilla,Rayo Vallecano,621893,Nico Guillen,DMC,1,45,0,0,0,0,0,6.5,0.04,0.04,0,0.0,0.0,1,0,12,10,0,27,3,1,0,1,1,1,1,0
5868019,2026-08-15,Sevilla,Rayo Vallecano,507590,Miguel Sierra,AMR,1,69,0,0,0,0,0,7.0,0.04,0.04,0,0.0,0.12,1,0,16,9,2,42,2,1,2,2,1,1,3,0
